Categoria,Tipu,Producte,Imatge,Alergens
Congelados,"Helados, postres y nata",Cookie Dough S'wich Up helado de vainilla con trozos de galleta con pepitas de chocolate,00118952006023____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",Half Baked helado de chocolate y vainilla con trocitos de brownie y galleta con pepitas de,00118952006031____1__600x600.jpg,"['mantequilla', 'soja', 'huevo', 'Nata', 'cebada', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",What a lotta helado de chocolate con trozos de cookie,00118952004945____8__600x600.jpg,"['mantequilla', 'soja', 'huevo', 'Nata', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",helado de chocolate,0118952003780000g01011.jpg,"['soja', 'Leche']"
Congelados,"Helados, postres y nata",helado de fresa,0118952003798000g01011.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de sorbete de limón,0118952003806000g01011.jpg,['leche']
Congelados,"Helados, postres y nata",helado de vainilla,00118952003814____1__600x600.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",Pints Almond helado de vainilla con trozos de almendra y cobertura de chocolate con leche,00118952004838____6__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'almendras', 'soja', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Pints Classic helado de vainilla con trozos de chocolate y cobertura de chocolate,00118952004820____6__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'soja', 'leche']"
Congelados,"Helados, postres y nata",Pints Raspberry helado de frambuesa con crujiente capa y láminas de chocolate negro,00118952005306____6__600x600.jpg,"['mantequilla', 'leche', 'soja', 'Nata']"
Congelados,"Helados, postres y nata",Pints White helado de vainilla con trozos y cobertura de chocolate blanco,00118952004846____6__600x600.jpg,"['mantequilla', 'leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",Praliné helado de crema de avellana con cobertura de chocolate con leche,00118952006015____8__600x600.jpg,"['Leche', 'avellanas', 'mantequilla', 'nata', 'soja', 'avellana', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Delight helado de chocolate bajo en calorias,00118952006007____1__600x600.jpg,"['leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",Delights helado de nata y cookies,00118952005991____1__600x600.jpg,"['Leche', 'mantequilla', 'nata', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Delights helado sabor vainilla,00118952005983____1__600x600.jpg,"['leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",helado ecológico de café sin gluten,00118952005298____1__600x600.jpg,"['leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",helado ecológico de coco sin gluten y sin lactosa,00118952005256____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado ecológico de chocolate belga sin gluten,00118952005272____1__600x600.jpg,['leche']
Congelados,"Helados, postres y nata",helado ecológico de fresa sin gluten y sin lactosa,00118952005231____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado ecológico de limón sin gluten y sin lactosa,00118952005264____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado ecológico de mandarina sin gluten y sin lactosa,00118952005249____1__600x600.jpg,[]
Congelados,"Helados, postres y nata",helado ecológico de vainilla sin gluten,00118952005223____1__600x600.jpg,"['leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",helado de cuajada al kizkilurrin con leche de oveja sin gluten,0118952002303000g01011.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de cuajada natural con leche de oveja sin gluten,0118952002311000g01011.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de yogur natural con leche de oveja sin gluten,0118952002337000g01011.jpg,"['leche', 'Leche']"
Congelados,"Helados, postres y nata",helado de leche merengada,00118952000133____1__600x600.jpg,"['frutos secos', 'Leche']"
Congelados,"Helados, postres y nata",helado de stracciatella,00118952000083____1__600x600.jpg,"['Leche', 'Soja', 'frutos secos', 'Nata', 'Lecitina']"
Congelados,"Helados, postres y nata",Mini helados surtidos Classico Almendras y Blanco sin gluten 10 unidades,00118953907096____6__600x600.jpg,"['Leche', 'mantequilla', 'almendras', 'soja', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini Almendras bombón helado sin gluten 6 unidades,00118953907062____6__600x600.jpg,"['Leche', 'mantequilla', 'almendras', 'soja', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini Dark mini helado de vainilla con chocolate negro sin gluten 6 unidades,00118953907104____6__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini Double helados con doble caramelo y chocolate sin gluten 6 unidades,00118953906197____3__600x600.jpg,"['Leche', 'mantequilla', 'frutos secos', 'cacahuetes', 'leche']"
Congelados,"Helados, postres y nata",Mini Double helados con doble cobertura de chocolate y caramelo sin gluten 6 unidades,00118953907252____6__600x600.jpg,"['Leche', 'mantequilla', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini Double helados con doble chocolate sin gluten 6 unidades,00118953907260____6__600x600.jpg,"['Leche', 'mantequilla', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",mini helado de chocolate con menta 6 unidades,00118953907120____6__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini helados con cobertura de chocolate y avellanas relleno de praline sin gluten 6 unids.,00118953907237____6__600x600.jpg,"['Leche', 'avellanas', 'mantequilla', 'soja', 'avellana', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini helados con doble cobertura de chocolate y frambuesa sin gluten 6 unidades,00118953906676____6__600x600.jpg,"['Leche', 'mantequilla', 'frutos secos', 'cacahuetes', 'leche']"
Congelados,"Helados, postres y nata","Mini helados surtidos Magnum Classico, Blanco y Almendras sin gluten 6 unidades",00118953907070____6__600x600.jpg,"['Leche', 'mantequilla', 'almendras', 'soja', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Mini helados surtidos vainilla y chocolate blanco y almendrado sin gluten 6 unidades,00118953907088____6__600x600.jpg,"['Leche', 'mantequilla', 'almendras', 'soja', 'cacahuetes', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Classic helado de chocolate con leche y vainilla sin gluten 3 unidades,00118953905249____1__600x600.jpg,"['mantequilla', 'leche', 'soja', 'Leche']"
Congelados,"Helados, postres y nata",Frac helado de nata con chocolate negro sin gluten 3 unidades,00118953905272____1__600x600.jpg,"['mantequilla', 'leche', 'Leche', 'nata']"
Congelados,"Helados, postres y nata",helado de chocolate con leche y almendras sin gluten 3 unidades,00118953905256____1__600x600.jpg,"['Puede contener soja, otros frutos secos y cacahuetes', 'Leche', 'mantequilla', 'almendras', 'leche']"
Congelados,"Helados, postres y nata",helados con cobertura de chocolate y avellanas y relleno de praline sin gluten 3 unidades,00118953907245____6__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'avellana', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",Intense Dark helado de chocolate con cobertura de chocolate negro sin gluten 70% 6 unids.,00118953907112____6__600x600.jpg,"['Leche', 'mantequilla', 'soja', 'leche', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",White helado de vainilla con chocolate blanco sin gluten 3 unidades,00118953905264____2__600x600.jpg,"['mantequilla', 'leche', 'Leche']"
Congelados,"Helados, postres y nata",After Dinner Classic  helado de vainilla con chocolate sin gluten 10 unidades,00118953900695____1__600x600.jpg,"['mantequilla', 'leche', 'soja', 'Leche']"
